"cow","year","terrorinclead","terrorinc","totspendrevlog","transferslog","welfarelog","poplog","democ","govcap","conflict","govleft","tradelog","europe","africa","asia","america","gdppclog","totspendrevper","welfarepercent","transfersper"
640,1978,19,6,-1.88519132137299,-4.57561159133911,NA,17.5674896240234,9,0.87987893819809,0,0,2.40544581413269,0,0,0,0,7.68109893798828,15.1800003051758,NA,1.02999973297119
640,1979,21,19,-1.83070826530457,-3.86800622940063,NA,17.5883293151855,9,0.866639256477356,0,1,2.18276834487915,0,0,0,0,7.76131916046143,16.0300006866455,NA,2.08999991416931
640,1980,5,21,-1.83633852005005,-4.12893581390381,-3.25450301170349,17.6106395721436,-5,0.811746597290039,0,0,2.83843612670898,0,0,0,0,7.8320140838623,15.9400005340576,3.8600001335144,1.61000025272369
640,1981,4,5,-1.87601101398468,-5.08320617675781,-3.49991321563721,17.6342792510986,-5,0.843284785747528,0,0,3.05128145217896,0,0,0,0,7.90728378295898,15.3199996948242,3.01999998092651,0.619999885559082
640,1982,7,4,-1.84516024589539,-3.45143866539001,-2.88419079780579,17.6591701507568,-5,0.896379888057709,0,0,3.29140853881836,0,0,0,0,7.93773221969604,15.8000011444092,5.59000015258789,3.16999959945679
640,1983,6,7,-1.84516024589539,-5.02068567276001,-3.37845778465271,17.6840591430664,7,0.825250744819641,0,0,3.36837983131409,0,0,0,0,7.95997476577759,15.8000011444092,3.41000008583069,0.659999966621399
640,1984,4,6,-1.95122420787811,-5.08320617675781,-3.60822153091431,17.7089405059814,7,0.777524352073669,0,0,3.5633180141449,0,0,0,0,8.03883457183838,14.2100009918213,2.71000003814697,0.619999885559082
640,1985,9,4,-2.1785991191864,-4.94766044616699,-3.68887948989868,17.7332401275635,7,0.769236981868744,0,0,3.55039572715759,0,0,0,0,8.11012554168701,11.3199996948242,2.49999976158142,0.710000038146973
640,1986,16,9,-1.98558700084686,-4.976233959198,-3.79423999786377,17.7559299468994,7,0.798553168773651,0,0,3.38148760795593,0,0,0,0,8.22844409942627,13.7299995422363,2.25,0.689999938011169
640,1987,8,16,-1.96468532085419,-5.03595304489136,-3.96859335899353,17.7776393890381,7,0.814733922481537,0,0,3.50666570663452,0,0,0,0,8.38685703277588,14.0200004577637,1.88999998569489,0.650000035762787
640,1988,8,8,-1.96969068050385,-5.11599588394165,-3.9170355796814,17.7993507385254,7,0.792369425296783,0,0,3.58926725387573,0,0,0,0,8.45553016662598,13.9500007629395,1.99000000953674,0.599999964237213
640,1989,6,8,-1.95192813873291,-4.86653518676758,-3.87280249595642,17.8210601806641,9,0.926635801792145,0,0,3.52587985992432,0,0,0,0,8.40737819671631,14.2000007629395,2.07999992370605,0.769999802112579
640,1990,45,6,-1.96682739257812,-4.61522054672241,-3.45776772499084,17.8431797027588,9,0.943854033946991,0,0,3.42924737930298,0,0,0,0,8.48342990875244,13.9899997711182,3.15000009536743,0.990000009536743
640,1991,12,45,-1.95122420787811,-4.56594944000244,-3.37845778465271,17.858980178833,9,0.965073108673096,0,0,3.41693711280823,0,0,0,0,8.50592994689941,14.2100009918213,3.41000008583069,1.03999996185303
640,1992,9,12,-1.85661804676056,-4.45675039291382,-3.23398947715759,17.874490737915,9,0.895165860652924,0,0,3.45749425888062,0,0,0,0,8.58054447174072,15.6200008392334,3.94000005722046,1.15999984741211
640,1993,7,9,-1.75735807418823,-4.05128526687622,-2.97397065162659,17.8897895812988,8,0.866171717643738,0,0,3.49702572822571,0,0,0,0,8.66423320770264,17.25,5.1100001335144,1.73999965190887
640,1994,3,7,-1.67932403087616,-4.31250047683716,-3.04282379150391,17.9049892425537,8,0.915776073932648,0,0,3.73160028457642,0,0,0,0,8.61031913757324,18.6499996185303,4.76999998092651,1.34000015258789
